,,,Totalt,1 2 3 4,DA232-4X,,1 2 3 4,DA234X,,1 2,DM1579,,1 summer,DH1621,,1,DH2400,,2,DH2408,,1 2,DH2465,,1 2 3 4,DH2466,,1,DH1622,,2,Dm2712,,1 2,DM2630,,1 2,DH2632,,1 2,DH2655,,1 2,DM1581,,1 2 3 4,DM1578,,2,DM2500,,2,DM2517,,1,DM2572,,2,DM2573,,2,DM2579,,1 2 3 4,DM2904-6,,1,DM2601,,1 2 3 4,DM2679,,1 2,DM2350,,1 2 3 4,DM2575,,2,DM2799,,2,DM2584,,1 2,DH2642,,1,IC1007,,2,IC2005,,1 2,DH2650,,2,DD2470,,1 2,DH2413,,1,DD2257,,2,DT2140,30,2,DT2410,,2,DM1135,,1,DH2643,,1,DM1595,
,,,,100%,exjobb,100%,100%,mmexjobb,100%,100%,meph,95%,100%,mdi-intro,95%,100%,interak,95%,100%,utvard,90%,100%,del,90%,100%,indmdi,33%,100%,mdi-media,95%,100%,vetmetimt2,95%,100%,uxdesign,99%,100%,mdisemh,95%,100%,kid,95%,100%,intromedia,99%,100%,proint,99%,100%,distans,95%,100%,xmlpub,90%,100%,teori,95%,100%,hallutv,100%,100%,mep,99%,100%,indmed,99%,100%,mixd,95%,100%,improint,99%,100%,humper,90%,100%,mmproint,99%,100%,improj,99%,100%,mmproj,99%,100%,iprogdh,90%,100%,mdi-IC,99%,100%,ixd-IC,99%,75%,spel,95%,100%,atcg,85%,100%,agi,90%,100%,viz,90%,100%,mintint,95%,100%,autek,90%,100%,mmss,80%,100%,adviprog,80%,100%,progim,80%
Kursdata,Kurspoäng,hp,,1,30,,1,30,,,6,4 370,,3,0,,7.5,22 000,,6,,1,6,,1,6,,,7.5,11 000,,6,,1,9,,1,3,,,9,27 500,,6,,1,2.33,,,7.5,13 696,,7.5,,,7.5,,,7.5,,,7.5,15 000,1,7.5,,,7.5,,,1,,,7.5,,,2,,,7.5,,,7.5,,,7.5,,,7.5,,,7.5,,,6,−2 376,,6,,1,9,1 200,,7.5,,,7.5,,1,7.5,,,7.5,,,7.5,,,7.5,
,Balans,kr,1 166 415,,−1071 351,,,0,,,−13 086,,,−165 815,,,152 787,,,−120 509,,,51 855,,,−31 600,,,517 475,,,77 170,,,−116 785,,,−74 218,,,−73 263,,,177 487,,,−141 362,,,−29 688,,,0,,,−148 489,,,20 449,,,125 085,,,−62 420,,,78 457,,,−342 734,,,37 508,,,−98 683,,,154 130,,,143 753,,,800 157,,,0,,,−87 164,,,117 593,,,−133 428,,,14 907,,,117 909,,,23 202,,,−183 139,,,304 511,,,283 747,,,572 934,
,Föreläsningar,h,,0,,,0,,,12,21,1.5,6,12,2,30,14,3,8,16,2,24,8,2,8,0,0,15,13,3,0,20,1,18,14,3,6,12,2,18,30,1.5,12,36,1.5,48,8,1.5,15,26,1.5,15,12,1.5,20,12,3,15,32,4,15,6,1.5,0,0,0,15,12,2,20,0,3,15,24,2,4,0,3,15,4,2,15,,2,50,22,4,40,21,2,40,10,2,12,20,1,12,8,0.2,12,20,3,30,22,3,15,16,2,15,30,1,40,18,1.5,80,18,1.5,80,18,1.5
,Övningar,h,,,,0.7,,,0.7,,2,0.7,,8,0,,8,0,,4,1.5,,4,1.2,,0,1.7,,20,1.7,,0,1.7,,38,0.5,,,,,,0,,16,1.2,,5,1.5,,0,0.7,,0,0.7,,14,1.7,,14,1.7,,,1.2,,0,0.7,,20,1.7,,5,1,,4,1.5,,4,1,,6,1.5,,,1.5,,2,1,,28,1.5,,15,1.5,,8,1.7,,0,1,,0,0.7,,18,1.7,,3,1.5,,12,0.5,,12,1.5,,12,1.5,,12,1.5
,Datorlabb-timmar,h,,,,,,,,4,46,10,,,,4,24,10,,0,0,,0,,,0,0,,0,,,0,0,,0,0,,0,0,,0,4,2,16,3,,0,0,2,12,12,2,36,15,,0,0,,0,0,1,0,10,,0,0,,0,0,,,,2,6,8,,,,2,,8,2,,8,8,44,14,2,,8,2,,8,1,3,4,,0,,2,12,9,,0,,2,12,8,3,12,16,2,19,6,2,19,6,2,19,6
,Salstentor,st,,,,8,,,8,,1,1.4,,,1,,0,1,,0,2,,0,2,,0,8,,,2,,1,3,,,2.5,,,2.5,,0,0.75,,0,1,,0,0.2,,0,1.5,,0,1,,0,2.33,,,1.25,,0,0.5,,0,0,,,2.5,,,0.2,,,3,,,1,,,1.5,,,1.5,,0,0.8,,2,1.5,,1,1.5,,0,1.4,,0,1.5,,0,2,,1,1.6,,,1,,1,1.7,,1,1,,1,1,,1,1
,Grupper,st,,,,,,,,,3,,,1,,,1,,,2,,,1,,,0,,,4,,,1,,,1,,,1,,,,,,1,,,20,,,0,,,0,,,2,,,4,,,,,,0,,,3,,,20,,,1,,,2,,,3,,,1,,,8,,,1,,,1,,,1,,,1,0,,0,,,1,,1.5,6,1.5,,1,,,2,,,2,,,2,
,KTH-Studenter,st,,17,109,4.2,17,,4.2,0.3,75,0.2,0,4,0.4,0,55,0.4,0.7,53,0.2,0.2,65,0.2,4,1,0.2,,120,0.2,0.2,75,0.2,2,25,0.2,0,75,0.1,0,15,0.1,0.1,75,0.2,0,199,0.2,0.7,24,0.2,0.3,0,0.2,0.5,23,0.2,0.2,68,0.2,0.1,30,0.3,7.5,15,0.2,0.2,75,0.2,0,150,0.2,0.5,80,0.2,0,359001,0.2,2,74,0.4,2,20,0.4,0.2,160,0.2,0,1,0.4,0.2,24,0.4,0,50,0.3,2,9,0.2,0.4,34,0.2,0.2,63,0.2,1.5,120,0.2,0.2,14,0.2,0.2,75,0.2,0.2,40,0.2,0.2,75,0.2
,SU-studenter,st,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Total bemanning,Föreläsning (Frl),h,1687.1,0,,0,0,,0,53,<,63,36,,36,56,,56,48,,48,24,<,32,0,,0,52,,52,40,,40,56,,56,36,,36,75,<,95,90,<,108,20,,20,65,,65,30,>,0,48,,48,160,,160,15,<,25,0,,0,36,,36,0,,0,72,<,88,0,,0,12,,12,0,,0,110,,110,63,>,0,30,,30,40,,40,10,,10,80,,80,88,,88,48,,48,60,<,66,45,,45,45,>,0,45,>,0
,Övning (Ovn),h,1725.7,0,,0,0,,0,10,<,16,8,,8,8,,8,20,,20,9,<,15,0,,0,216,,216,0,,0,57,,57,0,,0,0,,0,35,<,44,250,<,260,0,,0,0,,0,76,,76,151,,151,0,,0,0,,0,162,,162,200,,200,10,,10,16,,16,45,,45,0,,0,32,,32,70,>,0,38,,38,22,,22,0,,0,0,,0,49,,49,45,,45,18,,18,60,,60,60,>,0,60,>,0
,Laboration (La),h,1209,0,,0,0,,0,56,<,138,0,,0,136,,136,0,<,30,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,19,,19,0,,0,24,,24,51,>,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,14,,14,0,,0,0,,0,0,,0,464,,464,0,,0,0,,0,7,,7,0,,0,42,,42,0,,0,162,,162,84,,84,50,,50,50,>,0,50,>,0
,Handledning (Ha),h,2708,1 853,<,2 108,0,,0,23,,23,0,,0,0,,0,37,,37,13,,13,4,,4,0,,0,15,,15,50,,50,0,,0,0,,0,8,,8,0,,0,17,,17,0,,0,12,,12,14,,14,3,,3,113,,113,15,,15,0,,0,40,,40,0,,0,148,,148,40,>,0,32,,32,0,,0,5,,5,0,,0,18,,18,14,,14,13,,13,180,,180,3,,3,15,,15,8,,8,15,,15
