,,,Totalt,3 4,DH1620,,3,DH2400,,4,DH2624,,3,DT2300,,3,DH2628,,4,DH2629,,3 4,DH2632,,4,DH2670,,3 4,DH2642,,3 4,DM128-9X,,3 4,DM1580,,4,DM2518,,3,DM2556,,3,DM2562,,4,DM2563,,4,DM2578,,4,DM2582,,3,DM2583,,4,DM2720,,4,DT2213,,3,DM2624,,3,DM2077,,3,DH2320,,3,DH2321,,4,DH2323,,3,DD2258,,3,DT2212,,1 2  3 4,DT2215,,3,DM1590,,4,DM1588,,3 4,DH1609,,3 4,DM2585,,3,DT1175,
,,,,100%,mdid,95%,100%,interakv,95%,75%,mdidcl,95%,100%,ljudintv,90%,100%,ixd-metod,95%,100%,ixd-reflect,95%,100%,mdisemv,95%,100%,haptik,95%,100%,iprogd,90%,100%,mkand,97%,100%,video,95%,100%,mobut,95%,80%,intcom,95%,100%,ledh,99%,100%,ledprojh,99%,100%,socmed,90%,100%,mlabv,99%,100%,bdatav,99%,100%,halikt,95%,100%,muscom,85%,100%,itfunk,95%,100%,medjur,95%,100%,visgra,90%,100%,ivis,90%,100%,dgi,90%,100%,visintro,90%,100%,musak,90%,100%,indmus,100%,100%,mlmed,100%,100%,sensmed,100%,100%,komminf,95%,100%,aisoc,100%,100%,ljud,85%
Kursdata,Kurspoäng,hp,,,6,11000,,7.5,9200,,1.5,,,7.5,,,7.5,,,7.5,,1,3,,,7.5,,,7.5,,,15,,,6,,,7.5,,,7.5,,,7.5,,,7.5,,,7.5,,,7.5,,,7.5,,,7.5,,,7.5,,,7.5,,,7.5,,,6,,,6,,,6,,,1.5,,1,7.5,,,6,,,7.5,,,6,,,7.5,,,6,,,7.5,30000
,Balans,kr,1166415,,973651,,,−145589,,,−28103,,,−202618,,,−125718,,,−119893,,,−75849,,,−96210,,,348123,,,−355950,,,−88766,,,315453,,,−354428,,,49093,,,−64732,,,0,,,−113549,,,−172777,,,−192151,,,−161936,,,−171398,,,206154,,,324034,,,224869,,,306572,,,−27069,,,−198086,,,0,,,309797,,,146628,,,−117553,,,−273145,,,204984,
,Föreläsningar,h,,40,13,3,30,14,3,3,2,1.5,30,24,1.5,15,12,2,15,16,3,6,12,2,12,22,2,100,22,4,8,6,2,12,19,2,12,13,2,15,24,1,15,36,2,15,16,2,40,0,3.5,20,16,2,20,16,2,15,24,3,15,24,1.5,60,12,3,15,18,2,15,20,2,12,16,2,12,26,3,3,4,1,30,24,1,,0,0,40,24,3,40,10,3,17,24,3,40,20,3,15,24,2
,Övningar,h,,,20,1.7,,8,0,,6,1.7,,4,0,,30,1.5,,14,2,,,,,8,0.7,,2,1,,4,1,,6,0.7,,0,0.7,,24,2.7,,,1.5,,56,0.2,,0,0.7,,6,1.5,,8,1.5,,14,1.7,,14,1.5,,10,1.5,,4,1.5,,18,1.7,,0,1.7,,0,0.7,,1,0.7,,0,0.7,,0,0.7,,9,0.7,,8,0.7,,22,1.7,,8,0.5,,10,1
,Datorlabb-timmar,h,,,0,,4,24,10,,0,0,1,15,12,,0,0,,0,0,,0,0,1,8,8,8,20,14,,,,3,28,10,3,21,15,,0,0,2,,8,2,,8,,0,10,2,,8,1,30,8,,0,0,1,9,12,,,,,,,2,,6,1,10,6,2,14,11,,,,3,6,4,,0,0,2,12,10,3,20,15,,0,0,,0,0,3,9,15
,Salstentor,st,,,,1.5,,0,1,,,1.1,,,3,,,2.5,,,2.5,,,2.5,,,1.8,,0,0.8,,,4,,1,1,,0,1.5,,0,3,,1,1.5,,,1.5,,,2.5,,,1.5,,1,1.5,,,1.25,,,2,,,4,,1,4,,1,1.6,,,2,,,1,,,0.5,,,2,,,10,,,1,,,1,,0,2,,,1,,2,1
,Grupper,st,,,10,,,1,,,1,,,1,,,1,,,1,,,1,,,3,,,4,,,3,,,2,,,0,,,2,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,0,,,0,,,1,,,1,,,,,,1,,,3,,,4,,,1,,,2,
,KTH-Studenter,st,,,288,0.2,0,23,0.4,,23,0.2,1,22,0.2,0.2,21,0.2,0.5,17,0.2,0,40,0.1,0,30,0.2,0.2,100,0.2,10,57,0.5,0.2,65,0.2,0.2,60,0.2,,27,0.2,0.2,26,0.4,2,16,0.4,0.2,0,0.5,1,30,0.2,0.2,24,0.2,0.2,5,0.2,1,16,0.2,1,19,0.2,1,22,0.2,0.3,120,0.2,0.2,92,0.2,0.2,102,0.2,0.2,48,0.2,0.5,14,0.2,6,0,0.2,0.2,75,0.2,0.2,60,0.2,,65,0.3,0.2,5,0.2,0.2,75,0.3
,SU-studenter,st,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total bemanning,Föreläsning (Frl),h,1809,52,,52,56,,56,5,,5,60,,60,36,,36,64,,64,36,,36,66,,66,110,,110,18,<,24,57,,57,39,,39,48,,48,108,,108,48,,48,0,,0,48,,48,48,,48,96,,96,60,,60,48,,48,54,,54,60,,60,48,,48,104,,104,8,,8,48,,48,0,,0,96,,96,40,,40,96,,96,80,,80,72,,72
,Övning (Ovn),h,1618.6,540,,540,8,<,20,16,,16,4,<,12,75,,75,42,,42,0,,0,41,,41,16,,16,24,,24,20,,20,0,,0,178,,178,0,,0,67,,67,0,,0,15,,15,20,,20,38,,38,35,,35,25,,25,10,,10,97,,97,0,,0,0,,0,2,>,0,0,,0,0,,0,15,,15,41,,41,238,,238,12,,12,40,,40
,Laboration (La),h,1049,0,,0,136,,136,0,,0,27,,27,0,,0,0,,0,0,,0,16,,16,272,,272,0,,0,114,,114,108,,108,0,,0,0,,0,0,,0,0,,0,0,,0,38,,38,0,,0,21,,21,0,,0,0,,0,0,,0,16,,16,50,<,78,0,,0,30,,30,0,,0,44,,44,105,,105,0,,0,0,,0,72,,72
