Name,Position,Dept,Subject,Kontering HCT (%),Bemnnad HCT Gru (%),Gru HT (%),Gru VT (%),Kurs 1,,,Kurs 2,,,Kurs 3,,,Kurs 4,,,Kurs 5,,,Kurs 6,,,Kurs 7,,,VT courses + exjobb,Gru VT (%),HT courses,Gru HT (%),Self-development &Friskvård (%),Extra (%),Balance (%),Use of saved time,GRU balance 19,GRU balance 20,Cost,Script diff(h),Internal teacher cost,Self-devel cost,Self-devel percentage,Kontering Cost,Research,Comments,Årsarbetstid %
,1650.23%,,,1375.74%,1598.13%,0.00%,0.00%,Number,%,kr,Number,%,kr,Nummer,%,kr,Nummer,%,kr,Nummer,%,kr,Nummer,%,,Nummer,%,,,750.30%,,590.90%,190.63%,,147.90%,,108.74%,−102.69%,,,7 322 603,1 654 891,19.15%,8 642 010,1970.00%,,
Hannah Abbott,Professor,MID,,10.00%,6.47%,,,,,,,,,,,,,,,,,,,,,,,,"DA232-4X exjobb: 3.3%
DM128-9X mkand: 1.9%",5.20%,*DH2466 indmdi: 1.3%,1.30%,,,−3.53%,,5.35%,1.82%,138 013,#REF!,58 383,0,,90 228,40.00%,,100.00%
Ludo Bagman,Lektor,MID,,40.00%,38.61%,,,,,,,,,,,,,,,,,,,,,,,,"*DH2628 ixd-metod: 6.5%
*DH2629 ixd-reflect: 5.7%
DA232-4X exjobb: 4.%",16.20%,"*DM2630 uxdesign: 11.1%
DM2679 improint: 2.4%",13.40%,9.00%,,−1.39%,,6.97%,5.58%,392 802,#REF!,247 862,57 780,,256 800,50.00%,,100.00%
Bathilda Bagshot,Doktorand,MID,,17.64%,7.97%,,,,,,,,,,,,,,,,,,,,,,,,DH1620 mdid: 5.6%,5.60%,DM1578 proint: 2.3%,2.30%,,,−9.67%,,,−9.67%,87 138,#REF!,27 349,0,,60 528,80.00%,,88.18%
Marcus Belby,Lektor,MID,,52.50%,37.81%,,,,,,,,,,,,,,,,,,,,,,,,"*DH2642 iprogd: 9.9%
DA232-4X exjobb: 3.4%",13.20%,"*DH2642 iprogdh: 9.3%
*DH2643 adviprog: 2.8%
DM2799 improj: .6%",12.80%,11.81%,,−14.69%,,47.88%,33.19%,531 935,#REF!,250 451,78 246,,347 760,25.00%,,100.00%
Katie Bell,Professor,MID,,25.00%,22.17%,,,,,,,,,,,,,,,,,,,,,,,,"*DT2300 ljudintv: 6.1%
DT2213 muscom: .6%
DA232-4X exjobb: 3.3%",10.00%,"DM1578 proint: 1.5%
DM1581 intromedia: .3%
DM2350 humper: 3.1%
DT2140 mintint: 1.7%",6.50%,5.63%,,−2.83%,,0.57%,−2.26%,358 616,#REF!,207 902,52 751,,234 450,50.00%,,100.00%
Cuthbert Binns,Lektor,MID,,12.00%,11.94%,,,,,,,,,,,,,,,,,,,,,,,,"DA232-4X exjobb: 3.3%
DM128-9X mkand: 4.5%",7.80%,DM1578 proint: 1.5%,1.50%,2.70%,,−0.06%,,0.38%,0.32%,120 153,#REF!,78 128,17 674,,78 552,30.00%,,100.00%
Phineas Nigellus Black,Postdoc,MID,,18.75%,15.13%,,,,,,,,,,,,,,,,,,,,,,,,"DM2720 halikt: 1.1%
DA232-4X exjobb: 4.%
DM128-9X mkand: 3.5%",8.60%,"DM1578 proint: 1.5%
DM2573 hallutv: 5.1%",6.50%,,,−3.62%,,−3.54%,−7.16%,,#REF!,72 619,0,,90 000,75.00%,,75.00%
Sirius Black,Postdoc,MID,,25.00%,20.47%,,,,,,,,,,,,,,,,,,,,,,,,"DH2628 ixd-metod: 6.3%
DA232-4X exjobb: 4.%",10.30%,DM2799 improj: 4.6%,4.60%,5.63%,,−4.53%,,−3.07%,−7.60%,,#REF!,98 271,27 000,,120 000,75.00%,,100.00%
Amelia Bones,Lektor,MID,,28%,23.97%,,,,,,,,,,,,,,,,,,,,,,,,"*DH1609 komminf: 13.9%
DA232-4X exjobb: 2.4%",16.30%,DM2575 mmproint: 1.5%,1.50%,6.19%,,−3.53%,,−16.50%,−20.03%,,,153 899,39 724,,176 550,30.00%,,55.00%
