Name,Position,Dept,Kontering HCT (),Bemnnad HCT Gru (),VT courses,Exjobb,Gru VT (),HT courses,Gru HT (),Self-development &Friskvård (),Balance (),GRU balance 19,GRU balance 20,Årsarbetstid 
Hannah Abbott,Professor,MID,10,"6,47","DA232-4X exjobb: 3,3%
DM128-9X mkand: 1,9%",,"5,2","*DH2466 indmdi: 1,3%","1,3",,-3.53,"5,35","1,82",100
Ludo Bagman,Lektor,MID,40,"38,61","*DH2628 ixd-metod: 6,5%
*DH2629 ixd-reflect: 5,7%
DA232-4X exjobb: 4,%",,"16,2","*DM2630 uxdesign: 11,1%
DM2679 improint: 2,4%","13,4",9,-1.39,"6,97","5,58",100
Bathilda Bagshot,Doktorand,MID,"17,64","7,97","DH1620 mdid: 5,6%",,"5,6","DM1578 proint: 2,3%","2,3",,-9.67,,-9.67,"88,18"
Marcus Belby,Lektor,MID,"52,5","37,81","*DH2642 iprogd: 9,9%
DA232-4X exjobb: 3,4%",,"13,2","*DH2642 iprogdh: 9,3%
*DH2643 adviprog: 2,8%
DM2799 improj: ,6%","12,8","11,81",-14.69,"47,88","33,19",100
Katie Bell,Professor,MID,25,"22,17","*DT2300 ljudintv: 6,1%
DT2213 muscom: ,6%
DA232-4X exjobb: 3,3%",,10,"DM1578 proint: 1,5%
DM1581 intromedia: ,3%
DM2350 humper: 3,1%
DT2140 mintint: 1,7%","6,5","5,63",-2.83,"0,57",-2.26,100
Cuthbert Binns,Lektor,MID,12,"11,94","DA232-4X exjobb: 3,3%
DM128-9X mkand: 4,5%",,"7,8","DM1578 proint: 1,5%","1,5","2,7",-0.06,"0,38","0,32",100
Phineas Nigellus Black,Postdoc,MID,"18,75","15,13","DM2720 halikt: 1,1%
DA232-4X exjobb: 4,%
DM128-9X mkand: 3,5%",,"8,6","DM1578 proint: 1,5%
DM2573 hallutv: 5,1%","6,5",,-3.62,−3.54,-7.16,75
Sirius Black,Postdoc,MID,25,"20,47","DH2628 ixd-metod: 6,3%
DA232-4X exjobb: 4,%",,"10,3","DM2799 improj: 4,6%","4,6","5,63",-4.53,−3.07,-7.60,100
Amelia Bones,Lektor,MID,28,"23,97","*DH1609 komminf: 13,9%
DA232-4X exjobb: 2,4%",,"16,3","DM2575 mmproint: 1,5%","1,5","6,19",-3.53,−16.50,-20.03,55
Susan Bones,Professor,MID,"52,5","45,34","*DM2556 intcom: 12,%
DH1609 komminf: ,5%
DA232-4X exjobb: 12,%
DM128-9X mkand: 3,8%",,"28,2","*DM2575 mmproint: 3,9%
*DM2584 mmproj: 1,2%
DM2579 mep: ,3%","5,4","11,81",-7.16,"23,72","16,56",100
